cage.treat,tile,oyster,size.before,
partial,39,1,0.454,
partial,39,2,0.524,
partial,39,3,0.524,
partial,39,4,0.545,
partial,39,5,0.822,
partial,39,6,0.525,
partial,39,7,0.385,
partial,39,8,0.679,
partial,39,9,0.723,
partial,39,10,0.342,
partial,53,1,1.125,
partial,53,2,0.86,
partial,53,3,1.014,
partial,53,4,0.969,
partial,53,5,1.042,
partial,53,6,1.03,
partial,53,7,1.283,
partial,53,8,0.934,
partial,53,9,0.81,
partial,53,10,0.839,
partial,81,1,0.393,
partial,81,2,0.886,
partial,81,3,0.319,
partial,81,4,0.615,
partial,81,5,0.565,
partial,81,6,0.35,
partial,81,7,0.532,
partial,81,8,0.581,
partial,81,9,0.394,
partial,81,10,0.615,
partial,85,1,0.578,
partial,85,2,0.464,
partial,85,3,0.499,
partial,85,4,0.481,
partial,85,5,0.441,
partial,85,6,0.69,
partial,85,7,0.621,
partial,85,8,0.662,
partial,85,9,0.589,
partial,85,10,0.917,
partial,114,1,0.399,
partial,114,2,0.868,
partial,114,3,0.436,
partial,114,4,0.744,
partial,114,5,0.504,
partial,114,6,0.635,
partial,114,7,0.454,
partial,114,8,1.031,
partial,114,9,0.794,
partial,114,10,0.515,
partial,119,1,0.857,
partial,119,2,0.862,
partial,119,3,0.52,
partial,119,4,0.948,
partial,119,5,0.768,
partial,119,6,0.598,
partial,119,7,0.523,
partial,119,8,0.605,
partial,119,9,0.882,
partial,119,10,0.733,
partial,150,1,0.692,
partial,150,2,0.684,
partial,150,3,0.966,
partial,150,4,0.368,
partial,150,5,0.518,
partial,150,6,0.942,
partial,150,7,0.657,
partial,150,8,0.776,
partial,150,9,0.621,
partial,150,10,0.423,
partial,154,1,0.351,
partial,154,2,0.497,
partial,154,3,0.607,
partial,154,4,0.466,
partial,154,5,0.744,
partial,154,6,0.627,
partial,154,7,0.638,
partial,154,8,0.574,
partial,154,9,0.719,
partial,154,10,1,
partial,174,1,0.573,
partial,174,2,0.432,
partial,174,3,0.463,
partial,174,4,0.342,
partial,174,5,0.784,
partial,174,6,0.659,
partial,174,7,0.3,
partial,174,8,0.344,
partial,174,9,0.512,
partial,174,10,0.596,
partial,183,1,0.585,
partial,183,2,1.175,
partial,183,3,0.567,
partial,183,4,0.926,
partial,183,5,0.595,
partial,183,6,0.852,
partial,183,7,0.525,
partial,183,8,0.322,
partial,183,9,0.619,
partial,183,10,0.754,
open,9,1,0.909,
open,9,2,0.977,
open,9,3,1.044,
open,9,4,0.952,
open,9,5,0.698,
open,9,6,0.467,
open,9,7,0.632,
open,9,8,0.588,
open,9,9,0.707,
open,9,10,0.669,
open,16,1,0.671,
open,16,2,0.714,
open,16,3,0.593,
open,16,4,0.472,
open,16,5,0.388,
open,16,6,0.721,
open,16,7,0.785,
open,16,8,1.023,
open,16,9,0.687,
open,16,10,0.657,
open,17,1,0.795,
open,17,2,0.721,
open,17,3,1.098,
open,17,4,0.524,
open,17,5,0.536,
open,17,6,0.93,
open,17,7,0.383,
open,17,8,0.7,
open,17,9,0.329,
open,52,1,1.001,
open,52,2,0.912,
open,52,3,0.791,
open,52,4,1.017,
open,52,5,1.011,
open,52,6,0.764,
open,52,7,0.576,
open,52,8,0.835,
open,52,9,0.569,
open,52,10,0.457,
open,58,1,0.415,
open,58,2,0.624,
open,58,3,0.754,
open,58,4,0.8,
open,58,5,0.73,
open,58,6,1.01,
open,58,7,0.47,
open,58,8,0.366,
open,58,9,0.31,
open,58,10,0.256,
open,63,1,0.54,
open,63,2,0.77,
open,63,3,0.642,
open,63,4,0.319,
open,63,5,0.519,
open,63,6,0.546,
open,63,7,0.356,
open,63,8,0.602,
open,63,9,0.489,
open,63,10,0.783,
open,90,1,0.943,
open,90,2,0.782,
open,90,3,0.95,
open,90,4,0.874,
open,90,5,1.189,
open,90,6,0.815,
open,90,7,0.722,
open,90,8,0.805,
open,90,9,0.762,
open,90,10,0.873,
open,147,1,0.722,
open,147,2,0.501,
open,147,3,0.481,
open,147,4,0.425,
open,147,5,0.385,
open,147,6,0.725,
open,147,7,0.702,
open,147,8,0.794,
open,147,9,0.898,
open,147,10,0.499,
open,186,1,0.643,
open,186,2,0.315,
open,186,3,0.793,
open,186,4,0.717,
open,186,5,0.417,
open,186,6,0.66,
open,186,7,0.997,
open,186,8,0.842,
open,186,9,0.752,
open,193,1,0.72,
open,193,2,0.621,
open,193,3,0.833,
open,193,4,0.415,
open,193,5,0.506,
open,193,6,0.591,
open,193,7,0.553,
open,193,8,0.403,
open,193,9,0.655,
open,193,10,0.633,
closed,194,1,0.902,
closed,194,2,1.432,
closed,194,3,0.565,
closed,194,4,0.668,
closed,194,5,0.744,
closed,194,6,0.829,
closed,194,7,0.931,
closed,194,8,0.713,
closed,191,1,1.078,
closed,191,2,0.836,
closed,191,3,0.883,
closed,191,4,0.555,
closed,191,5,0.678,
closed,191,6,0.701,
closed,191,7,0.623,
closed,191,8,1.022,
closed,191,9,1.176,
closed,191,10,0.9,
closed,38,1,0.816,
closed,38,2,0.351,
closed,38,3,0.468,
closed,38,4,0.922,
closed,38,5,0.879,
closed,38,6,0.788,
closed,38,7,0.482,
closed,38,8,0.842,
closed,38,9,0.571,
closed,38,10,0.756,
closed,86,1,0.49,
closed,86,2,0.472,
closed,86,3,0.522,
closed,86,4,0.471,
closed,86,5,0.453,
closed,86,6,0.375,
closed,86,7,0.55,
closed,86,8,0.79,
closed,86,9,0.536,
closed,86,10,0.611,
closed,135,1,0.606,
closed,135,2,0.884,
closed,135,3,1.22,
closed,135,4,0.67,
closed,135,5,0.957,
closed,135,6,1.085,
closed,135,7,0.87,
closed,135,8,0.558,
closed,135,9,0.739,
closed,135,10,0.77,
closed,144,1,0.623,
closed,144,2,0.416,
closed,144,3,0.461,
closed,144,4,0.526,
closed,144,5,0.599,
partial,59,1,1.055,
partial,59,2,1.145,
partial,59,3,0.564,
partial,59,4,1.007,
partial,59,5,0.677,
partial,59,6,0.45,
partial,59,7,0.69,
partial,59,8,0.421,
partial,59,9,0.442,
partial,59,10,0.318,
partial,56,1,0.346,
partial,56,2,0.667,
partial,56,3,0.558,
partial,56,4,0.773,
partial,56,5,0.468,
partial,56,6,0.625,
partial,56,7,0.494,
partial,56,8,0.884,
partial,56,9,0.438,
partial,56,10,0.618,
partial,4,1,1.529,
partial,4,2,0.776,
partial,4,3,1.091,
partial,4,4,0.566,
partial,4,5,0.7,
partial,4,6,0.465,
partial,4,7,0.784,
partial,4,8,1.048,
partial,4,9,1.35,
partial,4,10,0.871,
partial,51,1,0.522,
partial,51,2,1.006,
partial,51,3,0.536,
partial,51,4,0.654,
partial,51,5,0.71,
partial,51,6,0.635,
partial,51,7,0.51,
partial,51,8,0.669,
partial,51,9,0.447,
partial,51,10,0.352,
partial,26,1,0.832,
partial,26,2,0.311,
partial,26,3,0.742,
partial,26,4,0.229,not sure if this one really exists- measured what looks like its shadow/imprint
partial,26,5,0.737,
partial,26,6,0.735,
partial,26,7,0.981,
partial,26,8,1.136,
partial,26,9,0.675,
partial,26,10,0.943,
partial,65,1,0.555,
partial,65,2,0.513,
partial,65,3,0.688,
partial,65,4,0.578,
partial,65,5,0.874,
partial,65,6,0.625,
partial,65,7,1.177,
partial,65,8,0.914,
partial,65,9,1.085,
partial,65,10,0.739,
partial,15,1,0.786,
partial,15,2,0.375,
partial,15,3,0.546,
partial,15,4,0.654,
partial,15,5,0.805,
partial,15,6,1.502,
partial,15,7,0.694,
partial,15,8,0.932,
partial,15,9,0.791,
partial,15,10,0.47,
partial,62,1,0.714,
partial,62,2,0.647,concealed a bit by mud
partial,62,3,1.069,
partial,62,4,0.731,
partial,62,5,1.028,
partial,62,6,0.56,
partial,62,7,0.57,
partial,62,8,0.753,
partial,62,9,0.662,
partial,62,10,1.063,
partial,48,1,0.564,
partial,48,2,0.761,
partial,48,3,1.118,
partial,48,4,0.52,
partial,48,5,0.597,
partial,48,6,0.623,
partial,48,7,0.724,
partial,48,8,0.792,
partial,48,9,0.655,
partial,48,10,0.567,obscured by mud
partial,24,1,0.911,
partial,24,2,0.85,
partial,24,3,0.608,
partial,24,4,0.871,
partial,24,5,0.722,
partial,24,6,0.777,
partial,24,7,0.551,
partial,24,8,0.615,
partial,24,9,0.761,
partial,24,10,1.01,
partial,19,1,1.047,
partial,19,2,0.669,
partial,19,3,0.717,
partial,19,4,0.479,
partial,19,5,0.952,
partial,19,6,0.612,
partial,19,7,0.676,
partial,19,8,0.745,
partial,19,9,0.65,
partial,19,10,0.761,
partial,46,1,0.775,
partial,46,2,1.152,
partial,46,3,0.72,
partial,46,4,0.681,
partial,46,5,0.785,
partial,46,6,0.671,
partial,46,7,0.78,
partial,46,8,0.991,
partial,46,9,0.97,
partial,46,10,0.639,
partial,10,1,1.092,
partial,10,2,0.461,
partial,10,3,1.097,
partial,10,4,0.612,
partial,10,5,0.592,
partial,10,6,1.041,
partial,10,7,0.791,
partial,10,8,0.648,
partial,10,9,0.68,
partial,10,10,0.816,
partial,41,1,0.533,
partial,41,2,0.702,
partial,41,3,0.744,
partial,41,4,0.695,
partial,41,5,0.587,
partial,41,6,0.917,
partial,41,7,0.793,
partial,41,8,0.407,
partial,41,9,0.934,
partial,41,10,0.301,
partial,37,1,0.717,
partial,37,2,0.454,
partial,37,3,0.75,
partial,37,4,0.504,
partial,37,5,0.537,
partial,37,6,0.51,
partial,37,7,0.705,
partial,37,8,0.803,
partial,37,9,0.317,
partial,37,10,0.535,
partial,12,1,0.97,
partial,12,2,1.041,
partial,12,3,0.777,
partial,12,4,0.646,
partial,12,5,1.218,
partial,12,6,0.757,
partial,12,7,0.903,
partial,12,8,0.654,
partial,12,9,1.157,
partial,12,10,1.045,
partial,30,1,0.968,obscured by mud
partial,30,2,0.495,
partial,30,3,0.372,
partial,30,4,0.373,
partial,30,5,0.739,
partial,30,6,0.475,
partial,30,7,0.728,
partial,30,8,0.628,
partial,30,9,0.846,
partial,30,10,0.715,obscured by mud
partial,5,1,0.694,
partial,5,2,0.741,
partial,5,3,0.866,
partial,5,4,1.278,
partial,5,5,1.093,
partial,5,6,1.17,
partial,5,7,0.823,
partial,5,8,0.946,
partial,5,9,0.494,
partial,5,10,0.515,
partial,32,1,0.999,
partial,32,2,0.532,
partial,32,3,0.331,
partial,32,4,0.613,
partial,32,5,0.765,
partial,32,6,1.044,
partial,32,7,0.39,
partial,32,8,0.412,
partial,32,9,0.869,
partial,32,10,1.021,
partial,21,1,0.869,
partial,21,2,0.651,
partial,21,3,0.525,
partial,21,4,0.477,
partial,21,5,1.059,
partial,21,6,0.453,
partial,21,7,0.606,
partial,21,8,1.18,obscured by mud
partial,21,9,0.411,
partial,21,10,1.068,
open,27,1,0.961,
open,27,2,0.91,obscured by mud
open,27,3,0.99,
open,27,4,0.883,
open,27,5,0.606,
open,27,6,0.836,
open,27,7,0.949,
open,27,8,1.168,
open,27,9,1.112,
open,27,10,1.12,
open,35,1,0.776,
open,35,2,0.722,
open,35,3,1.066,
open,35,4,1.163,
open,35,5,0.483,
open,35,6,0.739,
open,35,7,1.022,
open,35,8,0.906,
open,35,9,0.846,
open,35,10,0.744,
open,22,1,0.712,hard to tell on this one
open,22,2,0.806,
open,22,3,0.9,
open,22,4,0.796,
open,22,5,0.639,
open,22,6,1.057,
open,22,7,0.895,
open,22,8,0.577,
open,22,9,0.449,
open,22,10,0.514,
open,60,1,1.044,
open,60,2,0.828,
open,60,3,0.741,
open,60,4,1.034,
open,60,5,1.042,
open,60,6,0.645,
open,60,7,0.709,
open,60,8,0.752,
open,60,9,0.724,
open,60,10,0.797,
open,40,1,0.306,
open,40,2,0.517,
open,40,3,0.324,
open,40,4,0.843,
open,40,5,0.528,
open,40,6,0.426,
open,40,7,0.368,
open,40,8,0.602,not sure about this one
open,40,9,0.428,
open,40,10,0.378,
open,71,1,0.603,
open,71,2,0.857,
open,71,3,1.089,
open,71,4,0.795,
open,71,5,0.73,
open,71,6,0.65,
open,71,7,0.847,
open,71,8,0.903,
open,71,9,0.897,
open,71,10,1.62,
open,75,1,0.802,not sure about this one
open,75,2,0.504,
open,75,3,0.689,
open,75,4,0.648,
open,75,5,0.817,
open,75,6,0.822,
open,75,7,1.151,
open,75,8,0.831,
open,75,9,0.81,
open,75,10,0.575,
open,23,1,1.173,obscured by mud
open,23,2,0.846,
open,23,3,0.872,
open,23,4,0.47,
open,23,5,0.459,
open,23,6,0.873,
open,23,7,1.246,
open,23,8,1.127,
open,23,9,0.475,
open,23,10,0.905,
open,13,1,0.549,
open,13,2,0.58,
open,13,3,0.526,
open,13,4,0.445,
open,13,5,0.561,
open,13,6,0.482,obscured by mud
open,13,7,0.784,
open,13,8,1.014,
open,13,9,0.871,
open,13,10,,missing- only 9 on plate
open,67,1,0.402,
open,67,2,0.474,
open,67,3,0.692,
open,67,4,0.18,
open,67,5,0.578,
open,67,6,0.536,
open,67,7,0.68,
open,67,8,0.598,
open,67,9,0.736,
open,67,10,0.425,
open,49,1,1.11,
open,49,2,0.398,
open,49,3,0.892,
open,49,4,0.793,
open,49,5,0.945,
open,49,6,0.564,
open,49,7,0.689,
open,49,8,0.909,
open,49,9,1.051,
open,49,10,0.657,
open,33,1,0.683,
open,33,2,0.959,
open,33,3,0.801,
open,33,4,0.784,
open,33,5,0.588,
open,33,6,0.752,
open,33,7,0.719,
open,33,8,0.682,
open,33,9,1.204,
open,33,10,0.847,
open,70,1,0.796,
open,70,2,0.584,
open,70,3,0.794,
open,70,4,0.675,
open,70,5,0.436,
open,70,6,0.721,
open,70,7,1.084,
open,70,8,0.771,not sure about this one
open,70,9,0.569,
open,70,10,1.064,
open,44,1,0.637,
open,44,2,0.923,obscured by mud
open,44,3,1.057,
open,44,4,0.714,
open,44,5,0.681,
open,44,6,0.447,
open,44,7,0.619,
open,44,8,0.537,
open,44,9,0.627,
open,44,10,0.489,
open,1,1,1.242,
open,1,2,0.952,
open,1,3,1.119,
open,1,4,1.043,
open,1,5,0.804,
open,1,6,0.766,
open,1,7,0.93,
open,1,8,1.01,
open,1,9,0.572,
open,1,10,0.741,
open,6,1,0.641,
open,6,2,0.55,
open,6,3,0.714,
open,6,4,0.66,
open,6,5,0.649,
open,6,6,0.878,
open,6,7,0.599,
open,6,8,1.548,not sure about this one
open,6,9,0.587,
open,6,10,0.928,
open,54,1,0.555,
open,54,2,0.577,
open,54,3,0.359,
open,54,4,0.361,
open,54,5,0.595,
open,54,6,0.426,
open,54,7,0.303,
open,54,8,0.542,
open,54,9,0.387,
open,54,10,0.508,
open,29,1,0.895,
open,29,2,0.938,
open,29,3,0.765,obscured by mud
open,29,4,0.449,
open,29,5,0.6,
open,29,6,0.93,
open,29,7,0.622,
open,29,8,0.877,
open,29,9,0.671,obscured by mud
open,29,10,0.796,
open,79,1,1.134,
open,79,2,0.702,
open,79,3,0.815,
open,79,4,0.696,
open,79,5,0.521,
open,79,6,0.812,
open,79,7,0.686,
open,79,8,0.688,
open,79,9,0.863,
open,79,10,0.641,
open,43,1,0.313,
open,43,2,0.939,
open,43,3,0.757,
open,43,4,0.663,
open,43,5,0.422,
open,43,6,0.837,
open,43,7,0.911,unsure about this one
open,43,8,1.049,
open,43,9,0.452,
open,43,10,0.491,
closed,3,1,1.019,
closed,3,2,0.744,
closed,3,3,0.782,
closed,3,4,0.839,
closed,3,5,0.624,
closed,3,6,0.87,
closed,3,7,0.948,
closed,3,8,0.755,
closed,3,9,0.613,
closed,3,10,0.833,
closed,8,1,0.62,
closed,8,3,0.763,
closed,8,4,0.764,
closed,8,5,0.561,
closed,8,7,0.845,
closed,8,8,0.619,
closed,8,9,0.574,
closed,8,10,0.762,
closed,11,1,0.75,
closed,11,2,0.89,
closed,11,3,0.756,
closed,11,4,0.644,
closed,11,5,0.75,
closed,11,6,0.746,
closed,11,7,1.066,
closed,11,8,0.774,
closed,11,9,0.675,
closed,14,1,0.634,
closed,14,2,0.839,
closed,14,3,0.469,
closed,14,4,0.809,
closed,14,5,0.621,
closed,14,6,0.463,
closed,14,7,0.677,
closed,14,8,0.502,
closed,14,9,0.583,
closed,14,10,0.8,
closed,18,1,0.667,
closed,18,2,0.812,
closed,18,3,0.728,
closed,18,4,0.522,
closed,18,5,0.395,
closed,18,6,1.205,
closed,18,7,0.576,
closed,18,8,0.542,
closed,18,9,0.407,
closed,18,10,0.948,
closed,20,1,0.696,
closed,20,2,0.624,
closed,20,3,0.579,
closed,20,4,0.573,
closed,20,5,0.456,
closed,20,6,0.514,
closed,20,7,0.858,
closed,20,8,0.658,
closed,25,1,1.241,
closed,25,2,1.005,
closed,25,3,0.826,
closed,25,4,0.764,
closed,25,5,0.695,
closed,25,6,1.062,
closed,25,7,0.73,
closed,25,8,1.05,
closed,25,9,0.696,
closed,25,10,0.814,
closed,55,1,0.433,
closed,55,2,0.511,
closed,55,3,0.558,
closed,55,4,0.357,
closed,55,5,0.994,
closed,55,6,0.457,
closed,55,7,0.449,
closed,55,8,0.621,
closed,55,9,0.749,
closed,57,1,0.565,
closed,57,2,0.641,
closed,57,3,0.777,
closed,57,4,0.669,
closed,57,5,0.75,
closed,57,6,0.423,
closed,57,7,0.843,
closed,57,8,0.432,
closed,57,9,0.95,
closed,61,1,0.709,
closed,61,2,0.659,
closed,61,3,0.654,
closed,61,4,0.739,
closed,61,5,0.628,
closed,61,6,0.835,
closed,66,1,0.776,
closed,66,2,0.814,
closed,66,3,0.729,
closed,66,4,1.139,
closed,66,5,1.118,
closed,66,6,0.792,
closed,66,7,0.695,
closed,66,8,1.103,
closed,69,1,0.567,
closed,69,2,0.742,
closed,69,3,0.531,
closed,69,4,0.927,
closed,69,5,0.801,
closed,69,6,0.375,
closed,69,7,1.105,
closed,69,8,0.803,
closed,69,9,0.798,
closed,72,1,0.73,
closed,72,2,0.574,
closed,72,3,0.694,
closed,72,4,0.792,
closed,72,5,0.491,
closed,72,6,0.372,
closed,72,7,0.408,
closed,72,8,0.898,
closed,76,1,0.399,
closed,76,2,0.606,
closed,76,3,0.644,
closed,76,4,0.421,
closed,76,5,0.607,
closed,76,6,0.713,
closed,76,7,0.46,
closed,76,8,0.752,
closed,76,9,0.604,
closed,76,10,0.563,
closed,78,1,0.573,
closed,78,2,0.52,
closed,78,3,0.367,
closed,78,4,0.409,
closed,78,5,0.527,
closed,78,6,0.684,
closed,78,7,0.909,
closed,78,8,0.631,
closed,95,1,1.014,
closed,95,2,1.035,
closed,95,3,0.833,
closed,95,4,0.57,
closed,95,5,0.695,
closed,95,6,0.498,
closed,95,7,0.755,
closed,95,8,0.837,
closed,95,9,0.783,
closed,104,1,0.882,
closed,104,2,0.936,
closed,104,3,0.678,
closed,104,4,0.468,
closed,104,5,1.117,
closed,104,6,0.939,
closed,104,7,0.67,
closed,104,8,1.19,
closed,104,9,0.724,
closed,116,1,0.736,
closed,116,2,0.749,
closed,116,3,0.722,
closed,116,4,0.67,
closed,116,5,0.909,
closed,116,6,0.657,
closed,116,7,0.771,
closed,116,8,0.502,
closed,116,9,0.554,
closed,122,1,0.948,
closed,122,2,1.024,
closed,122,3,0.565,
closed,122,4,0.987,
closed,122,5,0.569,
closed,122,6,0.676,
closed,122,7,0.822,
closed,122,8,0.968,
closed,122,9,0.734,
closed,142,1,0.508,
closed,142,2,1.013,
closed,142,3,1.029,
closed,142,4,0.752,
closed,142,5,0.554,
closed,142,6,0.662,
closed,142,7,0.709,
closed,142,8,0.637,
closed,142,9,0.549,
closed,142,10,1.011,
closed,148,1,0.854,
closed,148,2,0.751,
closed,148,3,0.698,
closed,148,4,0.552,
closed,148,5,0.855,
closed,148,6,0.547,
closed,148,7,0.771,
closed,148,8,1.056,
closed,148,9,0.522,
closed,148,10,0.757,
closed,158,1,0.75,
closed,158,2,0.73,
closed,158,3,0.51,
closed,158,4,0.628,
closed,158,5,0.488,
closed,158,6,0.422,
closed,158,7,0.485,
closed,158,8,0.92,
closed,182,1,0.311,
closed,182,2,0.019,
closed,182,3,0.698,
closed,182,4,0.289,
closed,182,5,0.769,
closed,182,6,0.802,
closed,182,7,0.518,